symbol,strategy,direction,entry_datetime,exit_datetime,exit_reason,pnl_net,r_multiple,capital_after
HYPE/USDT:USDT,v1_sniper,short,2026-03-27 13:45:00+00:00,2026-03-27 15:30:00+00:00,stop_loss,-2.2152507556198047,-1.1076253778099023,369.5053335902675
HYPE/USDT:USDT,v1_sniper,long,2026-03-27 15:30:00+00:00,2026-03-27 16:15:00+00:00,stop_loss,-2.233641515702576,-1.116820757851288,367.27169207456495
ETH/USDT:USDT,v1_sniper,short,2026-03-28 08:30:00+00:00,2026-03-28 12:30:00+00:00,take_profit,3.2654120037206136,1.6327060018603068,370.53710407828555
BNB/USDT:USDT,v1_sniper,short,2026-03-30 13:45:00+00:00,2026-03-30 17:15:00+00:00,take_profit,3.528824391008589,1.7644121955042944,374.06592846929414
NCCO1OILBRENT2USD/USDT:USDT,v1_sniper,short,2026-03-30 08:30:00+00:00,2026-03-30 20:30:00+00:00,time_exit,-1.177195936465192,-0.588597968232596,372.88873253282895
BNB/USDT:USDT,v1_sniper,long,2026-03-31 13:45:00+00:00,2026-03-31 14:00:00+00:00,take_profit,3.3853655613994955,1.6926827806997478,376.27409809422846
ADA/USDT:USDT,v1_sniper,long,2026-03-31 13:45:00+00:00,2026-03-31 14:15:00+00:00,take_profit,3.530328888110022,1.765164444055011,379.8044269823385
HYPE/USDT:USDT,v1_sniper,short,2026-04-01 13:45:00+00:00,2026-04-01 15:00:00+00:00,stop_loss,-2.2200465360953285,-1.1100232680476643,377.5843804462432
BTC/USDT:USDT,v1_sniper,long,2026-04-02 08:00:00+00:00,2026-04-02 08:30:00+00:00,stop_loss,-2.4274889861440916,-1.2137444930720458,375.1568914600991
NCSISP5002USD/USDT:USDT,v1_sniper,long,2026-04-02 08:15:00+00:00,2026-04-02 11:15:00+00:00,stop_loss,-2.7783440107669772,-1.3891720053834886,372.3785474493321
NCSISP5002USD/USDT:USDT,v1_sniper,long,2026-04-02 14:00:00+00:00,2026-04-02 14:30:00+00:00,take_profit,3.6595285150422905,1.8297642575211452,376.03807596437434
NCSINASDAQ1002USD/USDT:USDT,v1_sniper,long,2026-04-02 14:00:00+00:00,2026-04-03 02:00:00+00:00,time_exit,2.990601082589512,1.495300541294756,379.0286770469639
ETH/USDT:USDT,v1_sniper,long,2026-04-02 14:45:00+00:00,2026-04-03 02:45:00+00:00,time_exit,-0.5686957324570527,-0.28434786622852637,378.4599813145068
BTC/USDT:USDT,v1_sniper,long,2026-04-02 14:45:00+00:00,2026-04-03 02:45:00+00:00,time_exit,-0.7535840158422307,-0.37679200792111534,377.70639729866457
BNB/USDT:USDT,v1_sniper,short,2026-04-03 08:45:00+00:00,2026-04-03 12:30:00+00:00,stop_loss,-2.489821802906454,-1.244910901453227,375.2165754957581
ETH/USDT:USDT,v1_sniper,short,2026-04-03 14:00:00+00:00,2026-04-04 02:00:00+00:00,time_exit,-0.06583068886075813,-0.032915344430379065,375.1507448068973
